fecha_ingreso,anio,mes,estado,proveedor_top,nombre_comercial,tipo_servicio,problema_clasificado,motivo_reclamacion,estado_procesal,resuelta,monto_reclamado,monto_recuperado,porcentaje_recuperado,dias_resolucion
2025-01-09,2025,1,Ciudad de México,IZZI,IZZI,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,1610.0,800.0,0.4968944099378882,7.0
2025-01-09,2025,1,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,27.0
2025-01-09,2025,1,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,0.0,0.0,7.0
2025-01-09,2025,1,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,DESISTIMIENTO,False,200.0,0.0,0.0,27.0
2025-01-09,2025,1,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,0.0,641.22,0.0,8.0
2025-01-09,2025,1,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,1957.71,584.22,0.2984200928636008,28.0
2025-01-09,2025,1,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,22.0
2025-01-09,2025,1,Ciudad de México,MEGACABLE,MEGACABLE,TV,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,DESISTIMIENTO,False,0.0,0.0,0.0,41.0
2025-01-09,2025,1,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,53.0
2025-01-09,2025,1,Ciudad de México,AT&T,AT&T,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,DESISTIMIENTO,False,0.0,0.0,0.0,22.0
2025-01-09,2025,1,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,52.0
