,usuarios_totales,quejas_por_100k,tasa_conciliacion,mediana_dias_resolucion,promedio_monto_reclamado,promedio_porcentaje_recuperado
usuarios_totales,1.0,-0.5723154906608282,-0.43793317421888733,-0.2150740967302976,0.1416056571887142,-0.10366201792005031
quejas_por_100k,-0.5723154906608282,1.0,0.5537401030389641,-0.38514898806871944,-0.5872523693542625,0.528277178771678
tasa_conciliacion,-0.43793317421888733,0.5537401030389641,1.0,0.4587911990717046,0.2948328104678896,0.9018259585328858
mediana_dias_resolucion,-0.2150740967302976,-0.38514898806871944,0.4587911990717046,1.0,0.900133840652126,0.20868477516386663
promedio_monto_reclamado,0.1416056571887142,-0.5872523693542625,0.2948328104678896,0.900133840652126,1.0,0.17945597289490248
promedio_porcentaje_recuperado,-0.10366201792005031,0.528277178771678,0.9018259585328858,0.20868477516386663,0.17945597289490248,1.0
