proveedor_top,AT&T,IZZI,MEGACABLE,MOVISTAR,TELCEL,TELMEX,TOTALPLAY
AT&T,0.0,2.8502412275977713,5.178646668466214,1.915135257751227,3.293956520726747,5.567229730612674,3.6393903576467035
IZZI,2.8502412275977713,0.0,2.623919668008424,1.3517234232506283,3.6219523346353784,4.316801516120349,1.0762225657732971
MEGACABLE,5.178646668466214,2.623919668008424,0.0,3.615556526070006,4.781715115148228,5.23559364984255,1.6248472845904287
MOVISTAR,1.915135257751227,1.3517234232506283,3.615556526070006,0.0,2.8961612382884203,4.300264038445508,2.0935859234084266
TELCEL,3.293956520726747,3.6219523346353784,4.781715115148228,2.8961612382884203,0.0,5.103014109834225,3.8433336900008412
TELMEX,5.567229730612674,4.316801516120349,5.23559364984255,4.300264038445508,5.103014109834225,0.0,4.540182229342287
TOTALPLAY,3.6393903576467035,1.0762225657732971,1.6248472845904287,2.0935859234084266,3.8433336900008412,4.540182229342287,0.0
